100041;27;59;27;59;27;59;0;0;0;0;0;0;2,2;horizontal
100042;35;77;35;77;35;77;0;0;0;0;0;0;2,3;horizontal
100043;43;94;43;94;43;94;0;0;0;0;0;0;2,4;horizontal
100044;51;112;51;112;51;112;0;0;0;0;0;0;2,6;horizontal
100101;27;49;27;50;27;49;0;0;0;0;0;0;2,2;horizontal
100102;35;64;35;64;35;64;0;0;0;0;0;0;2,3;horizontal
100103;43;79;43;79;43;79;0;0;0;0;0;0;2,4;horizontal
100104;51;93;51;93;51;93;0;0;0;0;0;0;2,6;horizontal
100581;27;62;27;62;27;62;0;0;0;0;0;0;2,2;horizontal
100582;35;80;35;80;35;80;0;0;0;0;0;0;2,3;horizontal
100583;43;98;43;98;43;98;0;0;0;0;0;0;2,4;horizontal
100584;51;116;51;116;51;116;0;0;0;0;0;0;2,6;horizontal
100771;19;46;19;46;19;46;0;0;0;0;0;0;2,1;horizontal
100772;26;64;26;64;26;64;0;0;0;0;0;0;2,2;horizontal
100773;34;81;34;81;34;81;0;0;0;0;0;0;2,3;horizontal
100774;41;99;41;99;41;99;0;0;0;0;0;0;2,4;horizontal
101081;19;47;19;47;19;47;0;0;0;0;0;0;2,1;horizontal
101082;26;65;26;65;26;65;0;0;0;0;0;0;2,2;horizontal
101083;34;82;34;82;34;82;0;0;0;0;0;0;2,3;horizontal
101084;41;101;41;101;41;101;0;0;0;0;0;0;2,4;horizontal
101401;29;29;29;29;29;29;0;0;0;0;0;0;2,2;horizontal
101402;39;39;39;39;39;39;0;0;0;0;0;0;2,4;horizontal
101403;48;49;48;49;48;49;0;0;0;0;0;0;2,5;horizontal
101404;58;59;58;59;58;59;0;0;0;0;0;0;2,7;horizontal
101441;29;44;29;44;0;0;0;0;0;0;0;0;2,2;horizontal
101442;40;61;40;61;0;0;0;0;0;0;0;0;2,4;horizontal
101443;51;77;51;77;0;0;0;0;0;0;0;0;2,6;horizontal
101444;63;95;63;95;0;0;0;0;0;0;0;0;2,7;horizontal
101451;14;37;17;50;22;59;17;50;13;37;0;0;2;horizontal
101452;18;49;23;66;29;79;23;66;18;49;0;0;2,1;horizontal
101453;23;61;29;83;36;99;29;83;22;61;0;0;2,2;horizontal
101454;27;74;35;99;43;119;35;99;27;74;0;0;2,3;horizontal
101561;19;49;19;49;19;49;0;0;0;0;0;0;2,1;horizontal
101562;26;68;26;68;26;68;0;0;0;0;0;0;2,2;horizontal
101563;34;87;34;87;34;87;0;0;0;0;0;0;2,3;horizontal
101564;41;107;41;107;41;107;0;0;0;0;0;0;2,4;horizontal
101831;19;18;19;18;19;18;19;18;19;18;19;18;2,1;horizontal
101832;26;25;26;25;26;25;26;25;26;25;26;25;2,2;horizontal
101833;34;32;34;32;34;32;34;32;34;32;34;32;2,3;horizontal
101834;41;39;41;39;41;39;41;39;41;39;41;39;2,4;horizontal
102251;17;36;23;51;23;51;17;35;0;0;0;0;2,1;horizontal
102252;22;46;29;67;29;66;22;46;0;0;0;0;2,2;horizontal
102253;26;56;36;82;36;80;27;56;0;0;0;0;2,3;horizontal
102254;31;67;43;97;43;95;31;67;0;0;0;0;2,4;horizontal
102331;47;27;47;27;0;0;0;0;0;0;0;0;2,2;vertical
102332;60;34;60;34;0;0;0;0;0;0;0;0;2,3;vertical
102333;73;41;73;42;0;0;0;0;0;0;0;0;2,4;vertical
102334;86;49;86;49;0;0;0;0;0;0;0;0;2,5;vertical
102351;29;51;29;51;0;0;0;0;0;0;0;0;2,2;horizontal
102352;40;70;40;70;0;0;0;0;0;0;0;0;2,4;horizontal
102353;51;89;51;90;0;0;0;0;0;0;0;0;2,6;horizontal
102354;63;110;62;110;0;0;0;0;0;0;0;0;2,7;horizontal
102401;27;55;27;55;27;55;0;0;0;0;0;0;2,2;horizontal
102402;35;72;35;72;35;72;0;0;0;0;0;0;2,3;horizontal
102403;43;88;43;88;43;88;0;0;0;0;0;0;2,4;horizontal
102404;51;104;51;104;51;104;0;0;0;0;0;0;2,6;horizontal
102501;17;38;23;55;23;55;17;38;0;0;0;0;2,1;horizontal
102502;22;50;29;72;29;71;22;50;0;0;0;0;2,2;horizontal
102503;26;61;36;88;36;87;26;61;0;0;0;0;2,3;horizontal
102504;31;72;43;104;43;103;31;72;0;0;0;0;2,4;horizontal
102511;19;48;19;48;19;48;0;0;0;0;0;0;2,1;horizontal
102512;26;67;26;67;26;67;0;0;0;0;0;0;2,2;horizontal
102513;33;85;33;85;33;85;0;0;0;0;0;0;2,3;horizontal
102514;41;104;41;104;41;104;0;0;0;0;0;0;2,4;horizontal
102541;27;57;27;57;27;57;0;0;0;0;0;0;2,2;horizontal
